0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
262,283,242,210,304,246,313,274,369,190,168,221,0,2540,1720,1767,1077,630,333,381,246,156,98,122
318,224,345,368,362,536,643,822,483,242,232,476,0,417,512,731,478,542,569,469,484,307,247,168
379,284,372,524,600,513,556,528,740,439,139,363,0,439,376,566,445,375,363,331,428,447,237,229
