0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
58,56,91,115,218,237,246,251,271,130,234,466,0,705,170,207,629,411,334,284,230,122,68,53
68,104,218,381,547,613,621,512,487,248,135,94,0,94,175,286,318,338,334,318,368,212,105,210
689,302,407,559,414,248,361,425,639,408,142,174,0,102,351,279,263,278,506,294,316,459,245,849
