0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
254,110,37,184,215,317,235,173,214,483,426,772,0,486,654,590,730,641,617,604,462,382,178,92
148,101,146,313,596,670,630,566,487,245,111,289,0,336,440,695,713,672,535,612,643,373,208,197
210,130,540,888,692,509,510,638,812,381,119,64,0,337,760,712,617,443,503,480,686,752,316,968
