x_axis,y_axis
109.067498,94.583807
84.967121,94.048989
67.636491,93.6644
64.051998,93.584855
50.480229,93.28368
26.916985,92.760781
23.538178,92.685801
6.204074,92.301135
-11.287133,91.912982
-11.287133,91.912982
-24.554677,91.618558
-52.734447,90.993213
-56.335998,90.91329
-110.530348,-96.210618
-73.715947,-108.853045
-60.044817,-110.453405
-26.053977,-107.670843
-26.053977,-107.670843
-9.213047,-106.292209
15.026799,-104.307884
18.628033,-104.01308
63.588981,-100.332481
-108.385938,94.247011
-83.397664,93.696491
-64.62729,93.282959
-64.62729,93.282959
-47.842412,92.913169
-25.15216,92.413277
-23.129142,92.368708
12.163873,91.591163
12.163873,91.591163
28.874892,91.223
53.674369,90.676639
-112.889241,-91.047866
60.210348,90.532644
-81.580978,-97.287849
-69.897716,-96.41945
-66.780526,-96.187754
-49.315774,-94.889626
-28.559821,-93.346868
-25.591338,-93.126226
-7.681637,-91.795025
6.090637,-88.621138
11.017824,-86.083374
35.428983,-73.510326
42.398913,-68.0981
57.771172,-56.161376
64.487557,-50.94603
85.061307,-28.878042
87.007727,-26.721148
97.249009,-17.046645
-109.040801,-78.963699
-91.915351,-85.978015
-67.850005,-98.456173
-62.922601,-101.735127
-25.516879,-120.973752
-18.206299,-120.973752
-15.573077,-120.973752
19.963191,-120.973752
22.700241,-120.973752
135.338133,-55.894624
-107.721664,-102.269072
121.095399,-26.707602
117.141276,-20.898067
-73.387806,-101.375224
-65.96345,-101.181938
105.460442,-5.88853
-40.438131,-100.517411
-28.584874,-100.208823
91.259728,10.943571
90.328599,12.036083
-21.056673,-100.012834
-21.056673,-100.012834
-72.393299,-120.321637
-70.88223,-120.321637
-75.736838,116.603797
-73.161876,116.603797
70.907963,34.275704
10.4681,-99.192117
-55.64304,116.603797
-53.907612,116.603797
-52.267655,116.603797
16.796106,-99.027374
19.804104,-98.949063
44.583409,51.619806
-28.10582,-120.321637
-26.624126,-120.321637
-29.644826,116.603797
-28.368718,116.603797
-18.811296,-120.321637
-17.174694,-120.321637
18.217411,62.027701
-25.409703,116.603797
-25.221109,116.603797
-25.039183,116.603797
58.355578,-97.945414
-24.855586,116.603797
59.935789,-97.904274
93.518358,114.565909
92.217604,114.565909
90.891005,114.565909
89.534183,114.565909
88.143597,114.565909
86.771141,114.565909
85.434456,114.565909
84.157486,114.565909
83.042364,114.565909
81.944946,114.565909
80.823619,114.565909
79.740848,114.565909
21.393478,-120.323855
78.612336,114.565909
77.493483,114.565909
76.471292,114.565909
76.471292,114.565909
75.331601,114.565909
75.331601,114.565909
-24.720362,116.650888
59.581957,114.565909
59.081355,114.565909
58.583718,114.565909
58.100685,114.565909
57.58702,114.565909
57.022052,114.565909
-110.823288,-79.904907
-91.12061,-86.897862
-63.332187,-85.596217
-57.092656,-85.165288
-53.974149,-84.94991
-26.17226,-83.029791
-19.80809,-82.590254
4.54052,-80.908634
13.679783,-80.277437
41.719949,-78.340862
44.634068,-78.1396
59.461316,-77.115566
111.210036,-73.541575
27.816258,114.101705
23.322103,113.95227
-17.463991,112.596094
-22.038798,112.443977
-93.33213,-111.724609
-71.984907,110.783222
-72.373676,-111.075619
-58.604684,-110.649254
-26.962007,-109.669422
-26.962007,-109.669422
1.844514,-108.777412
16.230433,-108.331944
19.790902,-108.221693
66.653232,-106.770575
-107.535996,98.203321
-80.833744,114.254159
-76.885118,114.254159
-76.885118,114.254159
-73.060945,114.254159
-58.106179,114.254159
-54.766584,114.254159
-28.426929,114.254159
-24.992597,114.254159
14.9321,114.254159
15.2094,114.254159
15.496278,114.254159
15.784574,114.254159
16.064443,114.254159
16.336385,114.254159
16.644101,114.254159
16.644101,114.254159
16.93272,114.254159
17.21053,114.254159
17.499636,114.254159
17.781831,114.254159
18.067282,114.254159
-108.950064,-95.357657
18.568684,113.483381
138.6141,-42.183162
110.299874,-72.758007
22.32764,101.268165
-73.140306,-119.68175
-72.663465,-119.68175
-72.154093,-119.68175
-71.663031,-119.68175
22.457251,99.109466
72.834364,-116.990367
54.727245,-116.990367
54.546967,-116.990367
54.37218,-116.990367
54.191615,-116.990367
54.014448,-116.990367
53.837826,-116.990367
53.655783,-116.990367
53.474725,-116.990367
52.844818,-117.027781
52.717596,-117.027781
52.584809,-117.027781
52.447092,-117.027781
52.322838,-117.027781
52.196558,-117.027781
52.071043,-117.027781
-45.274162,-119.644546
51.946556,-117.027781
-44.72384,-119.644546
51.810968,-117.027781
-44.194919,-119.644546
51.680652,-117.027781
-43.66244,-119.644546
51.549459,-117.027781
-43.142792,-119.644546
51.421428,-117.027781
-42.576853,-119.644546
51.281991,-117.027781
-41.934419,-119.644546
-41.26854,-119.644546
-40.587991,-119.644546
-39.966569,-119.644546
-39.285774,-119.644546
-38.636739,-119.644546
-38.012464,-119.644546
-37.397107,-119.644546
-36.705955,-119.644546
-36.037775,-119.644546
-35.391111,-119.644546
-34.746791,-119.644546
-34.026961,-119.644546
-33.337391,-119.644546
-32.631723,-119.644546
-31.923485,-119.644546
-28.485393,-119.644546
-27.809963,-119.644546
-27.116514,-119.644546
-21.197844,-119.644546
-21.172359,-119.644546
-21.145696,-119.644546
-21.121794,-119.644546
33.092699,74.219325
43.444658,58.330735
74.303839,115.439979
50.564083,47.777233
63.534121,36.387339
56.034395,113.909061
112.764807,84.34367
73.75644,27.796742
83.68321,24.000634
96.054486,21.888326
100.98252,21.965121
26.058318,111.397167
26.058318,111.397167
73.813141,107.840806
55.056613,116.820362
53.13072,116.820362
-15.467409,107.917452
51.307174,116.826964
-17.267955,107.766572
29.198963,116.827556
27.323932,116.827556
23.799804,116.34728
21.842162,116.852637
21.842162,116.852637
71.419682,119.603273
69.481956,120.097206
-63.061567,103.929222
-16.934057,116.852637
-18.81531,116.852637
-22.576123,116.852637
-24.396099,116.852637
-26.264668,116.852637
26.753484,120.599792
17.179449,120.437694
-54.672379,116.852637
119.031777,-70.549178
-20.283511,114.099298
-22.18451,112.744698
114.655007,-51.362147
-55.790461,92.828877
-60.351942,90.452973
106.740096,-25.638105
-95.286104,67.822539
103.943567,-21.378053
100.614349,-16.306536
85.771218,7.141348
81.223139,13.85242
-20.284193,-119.607126
