x_axis,y_axis
-105.251589,-99.204277
-73.910401,-98.435236
-69.7557,-98.333289
-65.605809,-98.23146
-44.386077,-97.710777
-26.863327,-97.280809
-22.554551,-97.175081
-14.186915,-96.969759
13.120377,-96.2997
17.440462,-96.193695
21.670821,-96.089892
57.097759,-95.220596
61.31657,-95.117076
-110.307503,88.573776
-88.161714,88.148843
-64.071885,87.686607
-58.898314,87.587337
-50.335469,87.423033
-25.496617,86.946425
-23.024786,86.898995
9.09268,86.282726
13.603322,86.196175
36.90572,85.749049
48.741034,85.521953
58.483632,85.335012
113.304106,-82.491253
92.85919,-89.095852
69.809246,-94.505496
67.525803,-94.337982
50.175686,-93.065175
26.384775,-91.319871
26.384775,-91.319871
-6.203561,-88.929185
-11.072017,-88.572035
-27.883678,-87.338729
-47.363161,-85.909711
-54.353647,-85.396888
-56.700064,-85.224755
108.477826,-98.436996
102.444553,102.894352
79.741163,-97.743974
70.404635,-97.518812
71.64107,107.972688
64.193145,-97.369014
59.398659,106.991796
23.19648,104.091189
19.334493,103.781757
11.720475,103.171704
25.898203,-112.545365
25.898203,-112.545365
9.878443,-106.922542
-15.52335,100.988862
-23.66175,100.336794
-31.659335,99.696008
-11.575312,-97.038094
-14.228444,-95.815709
-62.38598,95.739022
-62.38598,95.739022
-24.796824,-91.489852
-44.191532,-82.330459
-44.191532,-82.330459
-58.2605,-76.431287
-82.647532,-65.64176
-88.175333,-63.196101
107.879462,98.678265
74.96918,97.880401
68.921775,97.73379
63.103608,97.592736
44.281087,97.13641
26.603269,96.707836
20.154809,96.551502
14.399811,96.41198
-12.660896,95.75593
-15.629486,95.683961
-24.481175,95.469364
71.929114,119.67763
68.486318,119.67763
-57.411658,94.67101
-60.607198,94.593538
43.536172,119.67763
39.890471,119.67763
36.25265,119.67763
32.323706,119.67763
28.438482,119.67763
24.718991,119.67763
17.879239,119.67763
-20.55812,119.67763
-34.571087,119.67763
-38.198841,119.67763
-41.924452,119.67763
-107.222722,103.620071
-74.274263,103.385031
-62.754588,107.915737
-29.495111,114.350827
-27.119528,114.350827
-27.119528,114.350827
-24.746626,114.350827
16.137518,114.350827
18.127731,114.350827
18.127731,114.350827
20.151539,114.350827
-108.691883,-97.341542
112.114446,95.05258
-83.119415,-96.738841
-71.19202,-96.457733
-65.403312,-96.321302
-47.076316,-95.889365
109.798837,75.61203
-27.00612,-95.416344
-23.199631,-95.326631
107.347058,62.982115
-14.907063,-95.131189
-74.961853,-116.427005
-72.814995,-116.427005
-56.150867,-116.427005
10.03898,-94.543252
-54.382527,-116.427005
12.157363,-94.493326
-52.261071,-116.427005
22.073646,-97.446411
-29.103881,-116.434731
102.409702,34.803683
-27.298821,-116.434731
-25.450881,-116.434731
-23.576584,-116.434731
-21.674204,-116.434731
101.495214,29.60499
63.577752,-103.864064
99.273533,22.314053
98.296352,20.28392
17.379362,-116.434731
19.332734,-116.434731
21.278366,-116.434731
23.223463,-116.434731
25.141646,-116.434731
83.788918,-3.783882
75.977119,-13.647756
84.832226,-112.804317
64.381559,-28.223359
-72.53308,-119.031135
-69.893908,-119.031135
49.45765,-49.376915
48.80972,-50.100786
-46.058943,-119.031135
-43.179526,-119.031135
-40.595095,-119.031135
-31.016386,-119.031135
-27.98234,-119.031135
-25.116464,-119.031135
-21.734948,-119.031135
-18.907556,-119.031135
-72.627014,114.947755
-51.030433,114.236698
-26.035878,113.413765
-22.136975,113.285395
20.44095,111.883539
24.618993,111.745979
79.81787,109.928583
95.136401,-109.051999
72.520388,-108.382611
45.591649,-119.203099
42.079222,-119.203099
38.572806,-119.203099
35.087476,-119.203099
31.599514,-119.203099
27.669026,-119.203099
24.122651,-119.203099
20.226694,-119.203099
17.142378,-116.497622
4.820244,-105.688989
-11.215907,-91.622523
-11.215907,-91.622523
-33.261489,-67.4554
-50.333561,-46.117454
-66.875266,-37.385846
-95.13195,-24.378244
-95.13195,-24.378244
-103.059513,-20.728893
-105.882973,-102.173968
-102.625271,100.68878
-67.417889,99.79764
-73.725052,-101.337525
-63.535252,99.699366
-65.536874,-101.124546
-35.172986,98.981484
-23.000223,98.673377
-18.721994,98.56509
-14.444841,98.456831
-38.802886,-100.429183
15.092409,97.709208
23.224031,97.503388
23.224031,97.503388
-28.607869,-100.164006
-20.155505,-99.944156
-20.155505,-99.944156
62.662712,96.505149
66.960087,96.396377
11.066429,-99.132058
18.746792,-98.932288
20.676036,-98.882108
59.970428,-97.860042
59.970428,-97.860042
-108.246072,-97.254052
-80.877727,-96.610075
-69.75525,-96.348363
-66.086314,-96.262033
-46.188143,-95.793828
-27.246873,-95.34814
-23.565868,-95.261526
-11.517744,-94.978034
11.74801,-94.43059
13.626253,-94.386395
23.388967,-94.156678
54.620047,-93.421811
58.615246,-93.327803
108.502983,95.385734
69.616683,101.205848
62.879453,100.688636
38.881406,98.846326
25.73809,97.837324
102.682744,104.011703
19.285761,97.341984
12.442174,96.816608
72.24008,103.190674
-11.773069,94.957623
-15.015463,94.708708
62.209279,102.920147
-24.91572,93.948673
-54.589393,91.67065
26.187862,101.948661
-58.187928,91.394393
19.322164,101.763495
15.975699,101.673242
-13.501655,100.878247
-22.943862,100.623594
-30.103017,100.430514
-63.646943,99.525845
69.571934,118.841119
46.364087,118.841119
42.588033,118.841119
-108.205262,-100.577815
25.80512,118.841119
21.57035,118.841119
17.807745,118.841119
-72.891158,-99.688409
-21.360874,118.841119
-63.581802,-99.453947
-28.966786,118.841119
-32.976093,118.841119
-37.015593,118.841119
-49.219501,118.841119
-40.584134,-98.874737
-27.264656,-98.539279
-20.599102,-98.371403
-17.52178,-98.293899
11.917307,-97.552458
18.429237,-97.388451
21.524946,-97.310484
59.94699,-96.342803
59.94699,-96.342803
90.445245,111.607272
72.075557,110.115809
59.25604,109.074973
27.599403,106.504722
24.559269,106.257889
12.276249,105.260612
-12.94634,103.212752
-19.697049,102.664652
-61.77178,99.24854
-67.953655,98.746625
-130.838156,-64.81389
-109.082022,-74.772056
-96.58,-79.191143
-66.532206,-82.006639
-64.663914,-81.881226
-56.541725,-81.336011
109.572841,89.108954
-27.012108,-79.353788
-17.375963,-78.706947
88.656873,88.701902
