x_axis,y_axis
-108.999456,-94.2237
-82.34443,-93.887768
-66.055199,-93.682476
-64.574371,-93.663813
-46.804348,-93.439859
-24.591805,-93.159915
-23.110977,-93.141253
12.429087,-92.693343
12.429087,-92.693343
27.237454,-92.506714
55.373326,-92.15212
59.815845,-92.096131
-109.627646,-97.167678
-80.857178,-96.781017
-70.307988,-96.639241
-66.471899,-96.587686
-46.33253,-96.317023
-28.111172,-96.072137
-23.316083,-96.007693
-14.684915,-95.891694
11.208588,-95.543698
14.085645,-95.505032
22.716801,-95.389034
-87.348294,-115.413804
-85.734183,-115.413804
-84.120071,-115.413804
-82.505941,-115.413804
-76.049456,-115.413804
-74.435345,-115.413804
-58.224915,-115.413804
-56.603117,-115.413804
-54.9813,-115.413804
56.282461,-94.937927
58.200495,-94.91215
-30.639697,-115.413804
-29.0107,-115.413804
-27.381683,-115.413804
-25.752685,-115.413804
-24.123688,-115.413804
-19.236676,-115.413804
16.648724,-115.413804
18.284476,-115.413804
19.920227,-115.413804
21.555979,-115.413804
23.19175,-115.413804
56.559535,-115.440098
57.491209,-115.440098
76.124843,-115.440098
82.070084,-115.440098
83.060968,-115.440098
84.051851,-115.440098
85.042723,-115.440098
86.033595,-115.440098
87.024466,-115.440098
-109.122977,97.576507
-81.226342,97.198286
-70.377589,97.051199
-65.728152,96.988162
-47.130371,96.736015
-28.532552,96.483866
-23.883097,96.420829
-16.13403,96.315768
10.212892,95.958558
13.312541,95.916533
21.061589,95.811472
56.707328,95.328189
58.257153,95.307176
-106.368392,-100.182393
-69.759958,-99.658461
-62.438306,-99.553675
-38.032752,-99.204388
-25.82996,-99.029744
-18.508309,-98.924958
-16.067738,-98.890029
13.218927,-98.470885
20.540608,-98.366098
22.981149,-98.33117
62.029948,-97.772312
69.351628,-97.667525
-108.963015,-94.338008
-82.191651,-93.999734
-66.574983,-93.802408
-64.344022,-93.774218
-46.484131,-93.548547
-24.174582,-93.266651
-21.943621,-93.238462
13.751504,-92.787431
13.751504,-92.787431
27.137212,-92.618294
56.139509,-92.251831
60.60143,-92.195452
105.027658,102.957432
72.109021,100.783248
65.525327,100.348413
42.48231,98.826485
26.023055,97.739397
21.897838,97.521978
16.147494,97.087144
-11.020671,95.347802
-13.479187,95.130384
-23.354758,94.47813
-52.9814,92.521373
-59.565124,92.086535
127.325323,69.312613
110.915548,75.218211
97.469386,79.336893
66.121633,84.782429
59.907516,85.750921
55.360038,86.72454
27.485863,85.924957
24.778232,85.777544
-4.377364,83.462433
-11.874599,82.883015
-41.863541,80.565344
-43.737848,80.420489
-56.858042,79.406506
104.204866,103.667629
72.567496,102.778333
64.433234,102.570552
27.92842,101.544436
20.627475,101.339214
18.193817,101.270806
-12.610315,100.384067
-19.91128,100.178843
-22.344938,100.110436
-72.458008,110.020728
135.420823,58.947485
108.525509,70.868289
98.387569,74.422427
65.439245,85.973395
60.370275,87.75047
52.76681,90.416076
27.209666,92.929652
25.172177,92.888399
7.114038,92.600348
-10.110807,92.318088
-10.110807,92.318088
-24.464833,92.082871
-52.339518,91.618228
-58.081122,91.524141
-105.276947,-104.513463
-104.346829,-104.381589
-72.722219,-99.897863
-71.792101,-99.76599
-68.071543,-99.238492
-66.211297,-98.974745
-65.281147,-98.84287
-65.184348,-98.716788
-64.254209,-98.584913
-59.603545,-97.925543
-46.678456,-96.205386
-28.075777,-93.567904
-27.145638,-93.436029
-25.285391,-93.172283
-24.355241,-93.040408
-23.328292,-92.782449
-10.306405,-90.936209
-8.446137,-90.672461
7.26936,-88.55668
10.059767,-88.161057
10.989917,-88.029182
25.038775,-85.924981
27.829182,-85.529357
33.313178,-84.864196
34.243306,-84.732322
45.404914,-83.149833
46.335063,-83.017958
47.265203,-82.886083
51.082526,-82.232505
56.566542,-81.567342
57.496661,-81.435469
57.593469,-81.309386
65.034541,-80.254393
72.475613,-79.1994
98.519364,-75.506925
106.793777,-74.44614
110.611111,-73.792561
121.772719,-72.210071
122.702847,-72.078198
-100.289985,-105.710024
-71.297346,-103.915994
-65.180486,-103.491716
-62.030444,-103.34257
-26.121268,-101.120554
-21.162772,-100.767953
-18.01272,-100.618807
-16.854352,-100.547128
-13.054238,-100.266207
13.263059,-98.683499
15.904819,-98.474255
19.379909,-98.259221
21.371583,-98.181753
22.529937,-98.110075
23.688314,-98.038397
26.33006,-97.829154
43.705522,-96.753981
60.756003,-95.744693
60.756003,-95.744693
61.91437,-95.673015
64.55613,-95.463771
68.031206,-95.248738
83.089919,-94.316923
109.732226,-92.668329
111.01019,89.859022
90.067715,89.550621
64.758763,89.19726
62.747828,89.168487
52.693196,89.024626
25.718107,88.629911
24.540265,88.621816
-8.467561,88.140784
-11.656301,88.103917
-30.587709,87.82429
-49.863854,87.557246
-57.90751,87.442158
-107.937421,-97.676922
-106.748237,-97.584843
-79.397405,-95.467035
-67.505693,-94.546246
-66.316543,-94.454168
-65.127382,-94.36209
-63.938198,-94.270011
-60.014622,-93.922373
-48.479001,-93.072987
-47.289851,-92.980909
-24.695654,-91.231414
-23.506503,-91.139336
-10.069536,-90.055066
9.790235,-88.561131
12.168547,-88.376975
13.35773,-88.284895
23.227151,-87.476865
25.605471,-87.292708
33.573554,-86.71956
34.762729,-86.627481
49.03277,-85.522534
54.145516,-85.082819
58.546133,-84.785904
94.577263,-81.952141
112.984107,91.21512
91.87317,90.387858
67.497913,89.353784
65.060374,89.250377
55.31021,88.836745
29.001132,97.845349
21.58512,101.676319
18.697505,102.50479
4.272466,109.027989
-17.601962,112.533125
-18.428861,112.429718
-69.615779,109.961258
18.29011,142.821309
17.463201,142.717901
-113.626681,-90.801559
-112.492511,-90.904966
-111.358341,-91.008373
-41.790007,140.442933
-44.402185,140.339524
-47.014331,140.236115
-49.626457,140.132708
-52.238583,140.029301
-92.077324,-92.766303
-90.94314,-92.869711
-89.808981,-92.973119
-88.674787,-93.076526
-87.540604,-93.179935
-71.7857,-94.549037
-70.590109,-94.652445
-69.259858,-94.755959
-69.259858,-94.755959
-68.122654,-94.866408
-66.929139,-94.969815
-65.735624,-95.073222
-58.207874,-95.900482
-55.733991,-95.598509
-48.135594,-96.535652
-46.764903,-96.639061
-30.316378,-97.879954
-28.945651,-97.983361
-27.57496,-98.086769
-24.833541,-98.293584
-23.462814,-98.396991
-22.092123,-98.5004
-22.092123,-98.5004
-20.721396,-98.603807
-20.721396,-98.603807
-19.372339,-98.524055
-18.043779,-98.273446
-13.664282,-96.369143
-12.365684,-95.836666
-9.768504,-94.771718
6.641498,-88.278616
10.537275,-86.68119
29.19039,-78.797006
35.21169,-76.56369
36.510287,-76.031212
41.704605,-73.901331
43.003213,-73.368852
55.162186,-68.147527
59.057963,-66.550102
62.482042,-65.381747
63.780624,-64.849276
74.169374,-60.589471
76.766579,-59.524516
84.558108,-56.329673
85.029791,-55.900609
86.328388,-55.368132
90.22415,-53.770713
91.522748,-53.238236
92.821345,-52.705759
