Number,Overlaps
0,0
1,2
2,7
3,13
4,13
5,12
6,5
7,0
8,1
9,1
10,35
11,22
12,24
13,27
14,15
15,12
16,2
17,6
18,15
19,18
20,13
21,15
22,13
23,4
24,1
25,2
26,21
27,20
28,25
29,24
30,22
31,8
32,6
33,8
34,17
35,11
36,12
37,12
38,17
39,5
40,2
41,5
42,22
43,30
44,7
45,14
46,13
47,23
