0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
2,12,29,7,31,68,68,49,36,9,7,1,0,0,0,20,22,32,57,24,7,4,0,0
16,5,72,113,297,393,410,291,168,16,4,3,0,32,39,138,255,273,335,404,258,129,96,39
33,72,185,451,506,353,333,486,428,163,33,43,0,19,105,258,403,402,376,320,390,281,51,59
