0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
27,24,39,36,73,83,78,53,14,3,89,15,0,9,9,39,45,47,67,53,21,7,10,17
38,31,37,152,237,370,384,253,169,97,214,40,0,120,81,85,142,287,331,335,287,128,52,59
21,30,189,366,520,369,343,557,452,292,259,160,0,191,125,196,422,419,345,392,373,367,88,41
