0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
30,24,26,18,27,46,62,51,35,57,60,74,0,0,0,0,11,24,42,43,21,16,20,21
36,11,18,186,214,290,291,266,203,67,13,25,0,37,30,63,164,211,209,184,129,47,36,43
43,81,637,349,355,470,519,482,397,127,19,13,0,147,162,293,268,203,151,200,241,199,34,16
