0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
4,47,61,76,53,61,69,42,15,5,6,22,0,40,21,15,33,40,60,28,18,19,23,14
52,68,70,143,302,379,356,294,154,27,0,4,0,105,22,49,206,366,373,396,248,110,111,47
57,86,173,441,424,343,334,375,386,243,52,33,0,86,89,314,442,353,318,270,557,240,149,165
