0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
57,59,88,91,178,179,183,111,183,232,165,266,0,605,853,756,400,361,391,301,226,139,67,88
94,139,169,299,408,397,361,435,347,196,264,195,0,166,172,358,491,434,375,375,326,325,262,114
147,164,339,384,422,314,398,436,482,360,357,327,0,355,331,396,371,379,327,291,385,483,270,235
294,232,462,433,289,383,391,407,428,397,228,338,0,604,477,392,214,245,279,284,276,375,459,218
368,462,590,432,371,376,428,428,375,397,397,249,0,452,548,341,269,173,152,261,260,340,487,260
372,520,541,432,564,512,577,424,407,459,382,318,0,667,441,338,277,195,283,206,218,301,549,429
507,658,524,491,475,506,471,452,468,514,486,496,0,597,408,300,234,200,210,256,298,346,482,579
