0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
15,44,40,44,32,31,38,47,20,21,25,21,0,38,55,64,73,80,116,129,194,106,47,0
76,18,35,121,276,402,385,267,186,60,41,37,0,19,36,123,247,423,440,332,212,377,141,35
86,30,220,371,458,305,350,417,430,145,23,18,0,89,145,228,439,351,286,286,368,218,266,140
123,164,315,434,180,160,178,204,337,336,68,38,0,114,222,392,261,172,169,123,201,262,367,104
148,248,454,243,204,169,177,246,205,440,119,47,0,182,323,444,242,309,209,159,153,206,452,159
190,412,423,266,192,153,175,190,276,406,224,51,0,241,328,335,334,211,75,185,151,166,225,367
316,439,368,323,198,187,182,133,277,316,393,88,0,372,595,334,252,218,216,141,268,258,342,278
