0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
57,59,88,91,178,179,183,111,183,232,165,266,0,605,853,756,400,361,391,301,226,139,67,88
94,139,169,299,408,397,361,435,347,196,264,195,0,166,172,358,491,434,375,375,326,325,262,114
147,164,339,384,422,314,398,436,482,360,357,327,0,355,331,396,371,379,327,291,385,483,270,235
