0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
35,37,43,64,109,132,134,146,65,60,71,273,0,249,237,241,277,244,287,197,148,109,71,56
107,68,136,301,348,415,357,305,211,129,114,324,0,108,136,198,275,276,378,333,234,149,214,154
93,213,270,421,492,335,359,393,421,255,484,377,0,278,333,358,424,554,396,426,392,209,302,239
193,299,369,478,329,246,325,277,365,397,248,224,0,351,328,546,461,486,697,476,439,334,297,343
302,265,515,329,306,345,367,389,322,418,292,277,0,309,377,455,566,245,235,159,349,385,334,366
550,377,526,337,335,390,454,357,624,366,479,411,0,487,597,543,467,203,249,262,236,383,373,490
618,377,571,497,425,437,422,523,457,451,430,572,0,443,673,427,312,272,281,217,286,387,431,701
