0 ~ 15,15 ~ 30,30 ~ 45,45 ~ 60,60 ~ 75,75 ~ 90,90 ~ 105,105 ~ 120,120 ~ 135,135 ~ 150,150 ~ 165,165 ~ 180,180 ~ 195,195 ~ 210,210 ~ 225,225 ~ 240,240 ~ 255,255 ~ 270,270 ~ 285,285 ~ 300,300 ~ 315,315 ~ 330,330 ~ 345,345 ~ 360
38,58,67,157,108,99,80,67,26,40,173,222,0,65,10,37,166,180,196,177,160,135,113,85
147,192,185,504,296,366,363,282,329,149,286,149,0,155,183,338,375,336,335,279,224,186,173,137
257,141,287,399,436,374,355,488,641,300,151,74,0,440,426,409,278,334,325,366,457,299,180,134
255,310,382,431,268,301,333,348,438,422,227,222,0,291,742,335,381,318,259,538,364,364,263,247
409,313,409,413,350,251,396,249,418,417,273,246,0,254,486,788,328,207,388,410,302,462,407,373
594,456,429,281,289,360,322,312,401,509,333,221,0,480,528,671,410,247,357,259,306,256,421,459
534,523,376,357,284,481,301,449,359,567,425,212,0,577,516,447,353,360,280,342,308,257,503,699
